top_k_setting,model_kind,temperature,method,n,coverage,acc,acc_within1,acc_within2,mae,rmse,score_inv1p_abs
40,reasoning,0.1,dedup_text_mode,352,0.9943502824858758,0.45738636363636365,0.7414772727272727,0.8352272727272727,3.659090909090909,19.413707668926754,0.6554180649474768
40,reasoning,0.1,mean,352,0.9943502824858758,0.41761363636363635,0.6988636363636364,0.8011363636363636,7.439726315788128e+27,1.0583057862517257e+29,0.6197091150422417
40,reasoning,0.1,median,352,0.9943502824858758,0.4659090909090909,0.75,0.8494318181818182,3.528409090909091,18.955540087267362,0.6628639240422847
40,reasoning,0.1,mode,352,0.9943502824858758,0.4602272727272727,0.7414772727272727,0.8352272727272727,3.65625,19.41363450118124,0.6568385194929314
40,reasoning,0.1,trimmed_mean_10,352,0.9943502824858758,0.4346590909090909,0.7301136363636364,0.8181818181818182,1.1223721590909092e+27,2.10575682535482e+28,0.6388914457085387
40,reasoning,0.1,winsor_mean_10,352,0.9943502824858758,0.42613636363636365,0.7130681818181818,0.8096590909090909,1.5069886363636364e+27,2.8273612999499275e+28,0.6297809674766915
40,reasoning,0.4,cluster_mean_mean,353,0.9971751412429378,0.38526912181303113,0.6657223796033994,0.7620396600566572,5.887650593033029e+26,1.1061891165389257e+28,0.5922423498514183
40,reasoning,0.4,cluster_mean_median,353,0.9971751412429378,0.4192634560906516,0.7082152974504249,0.8016997167138811,155812.25779036828,2927371.1776956934,0.6246518356240398
40,reasoning,0.4,cluster_mean_mode,353,0.9971751412429378,0.43626062322946174,0.7025495750708215,0.8073654390934845,311621.67422096315,5854742.674666175,0.6323340581933589
40,reasoning,0.4,cluster_median_mean,353,0.9971751412429378,0.40793201133144474,0.7082152974504249,0.8045325779036827,4.67204183918065e+26,8.777969672031363e+27,0.6164661281272554
40,reasoning,0.4,cluster_median_median,353,0.9971751412429378,0.46742209631728043,0.7563739376770539,0.8470254957507082,194789.01416430596,3659685.715283124,0.662074746301176
40,reasoning,0.4,cluster_median_mode,353,0.9971751412429378,0.48158640226628896,0.7563739376770539,0.8526912181303116,389574.4957507082,7319371.749838241,0.669884811851806
40,reasoning,0.4,cluster_mode_mean,353,0.9971751412429378,0.39943342776203966,0.7082152974504249,0.8073654390934845,4.67204183918065e+26,8.777969672031363e+27,0.6119468573440637
40,reasoning,0.4,cluster_mode_median,353,0.9971751412429378,0.45042492917847027,0.7507082152974505,0.8470254957507082,194789.10481586403,3659685.7152844644,0.6522509680913432
40,reasoning,0.4,cluster_mode_mode,353,0.9971751412429378,0.46175637393767704,0.7422096317280453,0.8498583569405099,389574.6147308782,7319371.749838993,0.6571897155999982
40,reasoning,0.4,dedup_k_mean,353,0.9971751412429378,0.311614730878187,0.5949008498583569,0.7450424929178471,1.5577903682719547e+27,2.92682237847251e+28,0.5354007168203404
40,reasoning,0.4,dedup_k_median,353,0.9971751412429378,0.37110481586402266,0.6827195467422096,0.8101983002832861,389358.6487252125,7315315.607262763,0.5953339792887626
40,reasoning,0.4,dedup_k_mode,353,0.9971751412429378,0.39660056657223797,0.6940509915014165,0.8158640226628895,389358.85269121814,7315315.607265243,0.610946348780016
40,reasoning,0.4,dedup_text_mean,353,0.9971751412429378,0.40226628895184136,0.6685552407932012,0.7875354107648725,9.018786342627105e+26,1.6944761138525056e+28,0.6041837816401785
40,reasoning,0.4,dedup_text_median,353,0.9971751412429378,0.47875354107648727,0.7592067988668555,0.8498583569405099,389466.28611898015,7317343.67855044,0.6694456875660323
40,reasoning,0.4,dedup_text_mode,353,0.9971751412429378,0.4702549575070821,0.7648725212464589,0.8526912181303116,389574.2946175637,7319371.749833974,0.666253530462149
40,reasoning,0.4,mean,353,0.9971751412429378,0.40226628895184136,0.6685552407932012,0.7875354107648725,9.018786342627105e+26,1.6944761138525056e+28,0.6041837816401785
40,reasoning,0.4,median,353,0.9971751412429378,0.47875354107648727,0.7592067988668555,0.8498583569405099,389466.28611898015,7317343.67855044,0.6694456875660323
40,reasoning,0.4,mode,353,0.9971751412429378,0.4702549575070821,0.7648725212464589,0.8526912181303116,389574.2946175637,7319371.749833974,0.666253530462149
40,reasoning,0.4,trimmed_mean_10,353,0.9971751412429378,0.43342776203966005,0.7308781869688386,0.830028328611898,6.507082152974505e+26,1.2225697405621669e+28,0.6381407472375268
40,reasoning,0.4,winsor_mean_10,353,0.9971751412429378,0.43342776203966005,0.7223796033994334,0.8243626062322946,8.804085284031608e+26,1.6541374472528328e+28,0.6358303829679623
40,reasoning,0.7,cluster_mean_mean,353,0.9971751412429378,0.34844192634560905,0.6203966005665722,0.7308781869688386,171588.5042492918,3217417.353649452,0.5606178405832567
40,reasoning,0.7,cluster_mean_median,353,0.9971751412429378,0.42209631728045327,0.6968838526912181,0.8073654390934845,194652.6345609065,3656728.946447764,0.6232467235769895
40,reasoning,0.7,cluster_mean_mode,353,0.9971751412429378,0.41359773371104813,0.7025495750708215,0.8130311614730878,23.6685552407932,373.00701753114345,0.6216024163858727
