top_k_setting,model_kind,method,n,coverage,acc,acc_within1,acc_within2,mae,rmse,score_inv1p_abs
40,reasoning,cluster_mean_median,1410,0.9957627118644068,0.41702127659574467,0.7078014184397163,0.8070921985815603,185622.43687943261,4345171.082206917,0.6230842626966769
40,reasoning,cluster_mean_mode,1410,0.9957627118644068,0.4226950354609929,0.7120567375886525,0.8113475177304964,175385.71914893616,4684411.8076119935,0.627733745279817
40,reasoning,cluster_median_mean,1410,0.9957627118644068,0.37659574468085105,0.6829787234042554,0.7858156028368795,3.7039461720312786e+26,1.0480875268417133e+28,0.5936533300593725
40,reasoning,cluster_median_median,1410,0.9957627118644068,0.4425531914893617,0.7411347517730497,0.8368794326241135,194941.64751773048,4481952.448425593,0.6458532142663644
40,reasoning,cluster_median_mode,1410,0.9957627118644068,0.4553191489361702,0.75177304964539,0.8432624113475178,194882.52978723403,5174394.041371302,0.6555659551372697
40,reasoning,cluster_mode_mean,1410,0.9957627118644068,0.37872340425531914,0.6829787234042554,0.7879432624113475,3.7039461720312786e+26,1.0480875268417133e+28,0.5950462417584134
40,reasoning,cluster_mode_median,1410,0.9957627118644068,0.43546099290780144,0.7361702127659574,0.8375886524822695,146215.6794326241,4091483.766579656,0.6420287682086558
40,reasoning,cluster_mode_mode,1410,0.9957627118644068,0.44893617021276594,0.7453900709219858,0.8425531914893617,194882.67021276595,5174394.041373545,0.6511064066086505
40,reasoning,dedup_k_mean,1411,0.9964689265536724,0.28632175761871015,0.5705173635719348,0.7030474840538625,2.863343042758475e+27,6.758705309034366e+28,0.5129848198248707
40,reasoning,dedup_k_median,1411,0.9964689265536724,0.3486888731396173,0.671863926293409,0.8058114812189936,292309.04252303333,6338665.118303089,0.5821807942756108
40,reasoning,dedup_k_mode,1411,0.9964689265536724,0.369950389794472,0.6810772501771793,0.8051027639971652,292309.00779588945,6338665.118303296,0.5948865851566953
40,reasoning,dedup_text_mean,1411,0.9964689265536724,0.3876683203401843,0.6754075124025514,0.781715095676825,2.0816065351184677e+27,5.353416352460301e+28,0.5973019563414637
40,reasoning,dedup_text_median,1411,0.9964689265536724,0.4741318214032601,0.7682494684620836,0.854004252303331,292282.8185683912,6338714.568090454,0.670072964466328
40,reasoning,dedup_text_mode,1411,0.9964689265536724,0.4684620836286322,0.7661233167965982,0.8504606661941885,194926.91708008506,5177411.083934998,0.6664250429292675
40,reasoning,mean,1411,0.9964689265536724,0.3876683203401843,0.6761162296243799,0.781715095676825,2.0816065351184677e+27,5.353416352460301e+28,0.597420075878435
40,reasoning,median,1411,0.9964689265536724,0.47484053862508857,0.7682494684620836,0.854004252303331,292282.817859674,6338714.568090454,0.6704273230772423
40,reasoning,mode,1411,0.9964689265536724,0.46917080085046065,0.7661233167965982,0.8504606661941885,194926.9163713678,5177411.083934998,0.6667794015401818
40,reasoning,trimmed_mean_10,1411,0.9964689265536724,0.42806520198440823,0.7257264351523742,0.8228206945428774,4.427888022678951e+26,1.2166059422030732e+28,0.6340488506985574
40,reasoning,winsor_mean_10,1411,0.9964689265536724,0.4195605953224663,0.7150956768249468,0.8114812189936216,5.9620425976351224e+26,1.6366952518290578e+28,0.6264305545041192
none,base,cluster_mean_mean,0,0.0,,,,,,
none,base,cluster_mean_median,0,0.0,,,,,,
none,base,cluster_mean_mode,0,0.0,,,,,,
none,base,cluster_median_mean,0,0.0,,,,,,
none,base,cluster_median_median,0,0.0,,,,,,
none,base,cluster_median_mode,0,0.0,,,,,,
none,base,cluster_mode_mean,0,0.0,,,,,,
none,base,cluster_mode_median,0,0.0,,,,,,
none,base,cluster_mode_mode,0,0.0,,,,,,
none,base,dedup_k_mean,1412,0.9971751412429378,0.07223796033994334,0.193342776203966,0.3052407932011331,inf,inf,0.25247284378115376
none,base,dedup_k_median,1412,0.9971751412429378,0.12960339943342777,0.3328611898016997,0.4943342776203966,318235.0516997167,6275103.149503739,0.35484096356643396
none,base,dedup_k_mode,1412,0.9971751412429378,0.136685552407932,0.3342776203966006,0.4915014164305949,354385.9922096317,6701491.613710923,0.35667708803952125
none,base,dedup_text_mean,1412,0.9971751412429378,0.08356940509915015,0.24645892351274787,0.3696883852691218,inf,inf,0.28048175060913055
none,base,dedup_text_median,1412,0.9971751412429378,0.21104815864022664,0.4213881019830028,0.5481586402266289,247162.54249291786,5381162.262970424,0.4189042980227958
none,base,dedup_text_mode,1412,0.9971751412429378,0.22804532577903683,0.40084985835694054,0.5191218130311614,262331.87889518414,5690602.233554219,0.41267604634292165
none,base,mean,1412,0.9971751412429378,0.07932011331444759,0.2131728045325779,0.3130311614730878,inf,inf,0.2615254921400932
none,base,median,1412,0.9971751412429378,0.1848441926345609,0.37677053824362605,0.48654390934844194,247177.8895184136,5381162.288463556,0.3832165562301959
none,base,mode,1412,0.9971751412429378,0.1961756373937677,0.34560906515580736,0.44192634560906513,262347.32648725214,5690602.257792255,0.3670509536078999
none,base,trimmed_mean_10,1412,0.9971751412429378,0.10198300283286119,0.25424929178470257,0.3859773371104816,inf,inf,0.30383660453145284
none,base,winsor_mean_10,1412,0.9971751412429378,0.09844192634560907,0.24504249291784702,0.3654390934844193,inf,inf,0.2977514244727007
none,reasoning,cluster_mean_mean,1411,0.9964689265536724,0.36853295535081504,0.6612331679659815,0.7689581856839122,6.862296050120941e+26,2.154942254934409e+28,0.5818645963648067
none,reasoning,cluster_mean_median,1411,0.9964689265536724,0.4231041814316088,0.7186392629340893,0.8128986534372785,235450.63217576186,5396241.977586313,0.6277846904525843
none,reasoning,cluster_mean_mode,1411,0.9964689265536724,0.4316087880935507,0.7264351523742026,0.8185683912119065,194908.74273564847,5176896.706232603,0.6343144539193075
none,reasoning,cluster_median_mean,1411,0.9964689265536724,0.3926293408929837,0.6853295535081503,0.7852586817859674,5.595135961803872e+26,2.101716584467113e+28,0.6022906906749026
none,reasoning,cluster_median_median,1411,0.9964689265536724,0.44294826364280654,0.738483345145287,0.8263642806520198,243634.68674698795,5491223.103825623,0.6442594442519685
none,reasoning,cluster_median_mode,1411,0.9964689265536724,0.45570517363571933,0.7498228206945429,0.8341601700921333,194931.1814316088,5177504.020096603,0.6536820518455954
none,reasoning,cluster_mode_mean,1411,0.9964689265536724,0.38199858256555635,0.6860382707299787,0.7838412473423104,5.595135961803872e+26,2.101716584467113e+28,0.5965577049630817
none,reasoning,cluster_mode_median,1411,0.9964689265536724,0.4443656980864635,0.739900779588944,0.8256555634301913,243631.16654854713,5491135.273299995,0.6449127424122327
none,reasoning,cluster_mode_mode,1411,0.9964689265536724,0.45499645641389086,0.7498228206945429,0.8306165839829908,292335.34372785257,6339835.183396554,0.6524569141080747
none,reasoning,dedup_k_mean,1411,0.9964689265536724,0.2877391920623671,0.5797306874557052,0.702338766832034,2.1644748405386248e+27,5.781935954177858e+28,0.5164702411385746
none,reasoning,dedup_k_median,1411,0.9964689265536724,0.35010630758327427,0.6704464918497519,0.8079376328844791,292345.00708717224,6339949.713380234,0.5828354674320017
none,reasoning,dedup_k_mode,1411,0.9964689265536724,0.37420269312544296,0.6817859673990078,0.8022678951098512,292339.8405386251,6339911.095889586,0.5967125782133877
none,reasoning,dedup_text_mean,1411,0.9964689265536724,0.39121190644932674,0.6832034018426648,0.7937632884479093,1.1904611622962436e+27,3.180064774797822e+28,0.6016995626548658
none,reasoning,dedup_text_median,1411,0.9964689265536724,0.4833451452870305,0.7703756201275691,0.8490432317505315,292338.1658398299,6339911.095051259,0.6742001173867551
none,reasoning,dedup_text_mode,1411,0.9964689265536724,0.47696669029057404,0.7696669029057406,0.8433734939759037,194927.0134656272,5177411.0651119705,0.6700817801266866
none,reasoning,mean,1411,0.9964689265536724,0.39121190644932674,0.6832034018426648,0.7937632884479093,1.1904611622962436e+27,3.180064774797822e+28,0.6016998407140395
none,reasoning,median,1411,0.9964689265536724,0.4833451452870305,0.7703756201275691,0.8490432317505315,292338.1658398299,6339911.095051259,0.6742001173867551
none,reasoning,mode,1411,0.9964689265536724,0.47696669029057404,0.7696669029057406,0.8433734939759037,194927.0134656272,5177411.0651119705,0.6700817801266866
none,reasoning,trimmed_mean_10,1411,0.9964689265536724,0.4379872430900071,0.7278525868178597,0.8277817150956768,8.43641920623671e+25,3.16899576351816e+27,0.6402366931082971
none,reasoning,winsor_mean_10,1411,0.9964689265536724,0.42523033309709424,0.7136782423812899,0.8199858256555634,1.8727916371367823e+26,7.034819653877902e+27,0.6300586270703312
