top_k_setting,model_kind,method,n,coverage,acc,acc_within1,acc_within2,mae,rmse
none,reasoning,cluster_median_median,1410,0.9957627118644068,0.3021276595744681,0.5950354609929078,0.7404255319148936,146188.85957446808,4089995.4518466927
none,reasoning,cluster_median_median_wlen,1410,0.9957627118644068,0.32127659574468087,0.6269503546099291,0.7609929078014185,97403.0134751773,3657233.3091673185
none,reasoning,cluster_median_median_wsize,1410,0.9957627118644068,0.3078014184397163,0.6156028368794326,0.75177304964539,97357.18085106384,3655501.6431989283
none,reasoning,cluster_median_mode,1410,0.9957627118644068,0.30425531914893617,0.5865248226950355,0.7340425531914894,194988.64822695035,5176760.671037833
none,reasoning,cluster_median_mode_wlen,1410,0.9957627118644068,0.32695035460992905,0.6170212765957447,0.74822695035461,97482.1439716312,3660242.0465799887
none,reasoning,cluster_median_mode_wsize,1410,0.9957627118644068,0.31347517730496455,0.6049645390070922,0.7432624113475177,97358.40070921986,3655501.6434908006
none,reasoning,cluster_mode_mean,1410,0.9957627118644068,0.23333333333333334,0.5085106382978724,0.6680851063829787,2.0354609929078016e+26,7.643149252530262e+27
none,reasoning,cluster_mode_mean_wlen,1410,0.9957627118644068,0.274468085106383,0.5546099290780142,0.6971631205673758,1.8148180107328056e+26,6.814635588960756e+27
none,reasoning,cluster_mode_mean_wsize,1410,0.9957627118644068,0.25673758865248225,0.5354609929078015,0.6907801418439716,2.0354609929078016e+26,7.643149252530262e+27
none,reasoning,cluster_mode_median,1410,0.9957627118644068,0.3078014184397163,0.5914893617021276,0.7382978723404255,146220.71985815602,4091064.0003256337
none,reasoning,cluster_mode_median_wlen,1410,0.9957627118644068,0.3304964539007092,0.6205673758865248,0.7553191489361702,97420.61773049645,3657892.084716164
none,reasoning,cluster_mode_median_wsize,1410,0.9957627118644068,0.31347517730496455,0.6007092198581561,0.7425531914893617,97403.40709219858,3657233.3091797377
none,reasoning,cluster_mode_mode,1410,0.9957627118644068,0.3070921985815603,0.5829787234042553,0.7276595744680852,195052.295035461,5178448.926590025
none,reasoning,cluster_mode_mode_wlen,1410,0.9957627118644068,0.3326241134751773,0.6056737588652482,0.7418439716312056,97482.22695035461,3660242.0465782834
none,reasoning,cluster_mode_mode_wsize,1410,0.9957627118644068,0.31631205673758866,0.5907801418439717,0.7297872340425532,97420.99574468085,3657892.084731782
none,reasoning,dedup_k_mean,1411,0.9964689265536724,0.19064493267186391,0.44294826364280654,0.6102055279943303,5.2760059847232065e+63,1.981840897797508e+65
none,reasoning,dedup_k_median,1411,0.9964689265536724,0.23742026931254429,0.5478384124734231,0.702338766832034,291740.57335223246,6326874.387260363
none,reasoning,dedup_k_mode,1411,0.9964689265536724,0.24875974486180014,0.5527994330262226,0.702338766832034,291740.3593196315,6326874.387258696
none,reasoning,dedup_text_mean,1411,0.9964689265536724,0.23742026931254429,0.5116938341601701,0.669029057406095,2.374202693125443e+63,8.918284040088785e+64
none,reasoning,dedup_text_median,1411,0.9964689265536724,0.3196314670446492,0.6194188518781006,0.7597448618001418,97279.26860382708,3653876.770772665
none,reasoning,dedup_text_mode,1411,0.9964689265536724,0.3182140326009922,0.6002834868887313,0.7377746279234585,8.001417434443656,69.58644670370535
none,reasoning,mean,1411,0.9964689265536724,0.23742026931254429,0.5109851169383416,0.669029057406095,2.374202693125443e+63,8.918284040088785e+64
none,reasoning,median,1411,0.9964689265536724,0.3203401842664777,0.6194188518781006,0.7597448618001418,97279.27214741318,3653876.7707726792
none,reasoning,mode,1411,0.9964689265536724,0.3189227498228207,0.6002834868887313,0.738483345145287,8.0049610205528,69.58679807503671
none,reasoning,trimmed_mean_10,1411,0.9964689265536724,0.25726435152374205,0.5556343019135365,0.7193479801559178,1.163931745079867e+26,4.372109397379921e+27
none,reasoning,winsor_mean_10,1411,0.9964689265536724,0.25017717930545713,0.5435861091424522,0.7044649184975195,2.0174816914717694e+26,7.578322955458529e+27
