top_k_setting,model_kind,method,n,coverage,acc,acc_within1,acc_within2,mae,rmse
40,reasoning,cluster_mode_mean_wsize,1408,0.9943502824858758,0.2556818181818182,0.5390625,0.6910511363636364,2.965011961722488e+26,8.662511857695445e+27
40,reasoning,cluster_mode_median,1408,0.9943502824858758,0.30823863636363635,0.5994318181818182,0.7471590909090909,48813.35085227273,1831380.695964075
40,reasoning,cluster_mode_median_wlen,1408,0.9943502824858758,0.3210227272727273,0.6051136363636364,0.7485795454545454,7.270596590909091,54.27251967658637
40,reasoning,cluster_mode_median_wsize,1408,0.9943502824858758,0.31107954545454547,0.5958806818181818,0.7407670454545454,97630.90980113637,3662761.4101073327
40,reasoning,cluster_mode_mode,1408,0.9943502824858758,0.3075284090909091,0.5973011363636364,0.734375,7.033380681818182,52.96611937018195
40,reasoning,cluster_mode_mode_wlen,1408,0.9943502824858758,0.31676136363636365,0.5916193181818182,0.7286931818181818,6.213778409090909,29.024370148204767
40,reasoning,cluster_mode_mode_wsize,1408,0.9943502824858758,0.3125,0.5916193181818182,0.7386363636363636,195112.06321022726,5176694.474324505
40,reasoning,dedup_k_mean,1411,0.9964689265536724,0.1708008504606662,0.43869596031183555,0.6109142452161588,3.819850831899025e+26,1.105759648383377e+28
40,reasoning,dedup_k_median,1411,0.9964689265536724,0.21970233876683204,0.5471296952515946,0.7158043940467753,146031.49114103473,4089160.626378091
40,reasoning,dedup_k_mode,1411,0.9964689265536724,0.2076541459957477,0.5279943302622254,0.7009213323883771,97422.28490432317,3658864.6396363103
40,reasoning,dedup_text_mean,1411,0.9964689265536724,0.23175053153791636,0.518781006378455,0.6824946846208363,2.9587078966018873e+26,8.653298050594881e+27
40,reasoning,dedup_text_median,1411,0.9964689265536724,0.3196314670446492,0.6116229624379872,0.7625797306874557,97412.51878100638,3658865.0732799154
40,reasoning,dedup_text_mode,1411,0.9964689265536724,0.32104890148830617,0.6024096385542169,0.7377746279234585,97413.49539333806,3658864.6209144285
40,reasoning,mean,1411,0.9964689265536724,0.23245924875974486,0.518781006378455,0.6824946846208363,2.9587078966018873e+26,8.653298050594881e+27
40,reasoning,median,1411,0.9964689265536724,0.3196314670446492,0.6116229624379872,0.7618710134656272,97412.50815024805,3658865.0732798353
40,reasoning,mode,1411,0.9964689265536724,0.32175761871013464,0.6024096385542169,0.7370659107016301,97413.4968107725,3658864.6209144304
40,reasoning,trimmed_mean_10,1411,0.9964689265536724,0.2671863926293409,0.5719347980155918,0.7207654145995748,1.5149872847792556e+26,5.690789148671228e+27
40,reasoning,winsor_mean_10,1411,0.9964689265536724,0.25584691708008506,0.5584691708008505,0.7129695251594613,2.1574844268715728e+26,8.104219149705189e+27
none,reasoning,cluster_mean_mean,1410,0.9957627118644068,0.21843971631205675,0.49929078014184397,0.6602836879432624,2.3758865248226954e+63,8.9214459916294e+64
none,reasoning,cluster_mean_mean_wlen,1410,0.9957627118644068,0.2326241134751773,0.5134751773049645,0.6673758865248227,2.3758865248226954e+63,8.9214459916294e+64
none,reasoning,cluster_mean_mean_wsize,1410,0.9957627118644068,0.2397163120567376,0.5141843971631206,0.6680851063829787,2.3758865248226954e+63,8.9214459916294e+64
none,reasoning,cluster_mean_median,1410,0.9957627118644068,0.2843971631205674,0.5780141843971631,0.7283687943262411,2.3758865248226954e+63,8.9214459916294e+64
none,reasoning,cluster_mean_median_wlen,1410,0.9957627118644068,0.2886524822695035,0.5851063829787234,0.7304964539007093,2.3758865248226954e+63,8.9214459916294e+64
none,reasoning,cluster_mean_median_wsize,1410,0.9957627118644068,0.2645390070921986,0.573758865248227,0.7106382978723405,2.3758865248226954e+63,8.9214459916294e+64
none,reasoning,cluster_mean_mode,1410,0.9957627118644068,0.2822695035460993,0.5645390070921986,0.7120567375886525,2.3758865248226954e+63,8.9214459916294e+64
none,reasoning,cluster_mean_mode_wlen,1410,0.9957627118644068,0.2936170212765957,0.5645390070921986,0.7127659574468085,2.3758865248226954e+63,8.9214459916294e+64
none,reasoning,cluster_mean_mode_wsize,1410,0.9957627118644068,0.26666666666666666,0.5588652482269504,0.7,2.3758865248226954e+63,8.9214459916294e+64
none,reasoning,cluster_median_mean,1410,0.9957627118644068,0.2326241134751773,0.5148936170212766,0.6695035460992907,2.0354609929078016e+26,7.643149252530262e+27
