top_k_setting,model_kind,temperature,method,n,coverage,acc,acc_within1,acc_within2,mae,rmse
40,reasoning,0.7,cluster_mean_mean_wlen,353,0.9971751412429378,0.23796033994334279,0.4985835694050991,0.6685552407932012,1.0057296117716252e+27,1.8895943859833762e+28
40,reasoning,0.7,cluster_mean_mean_wsize,353,0.9971751412429378,0.24079320113314448,0.5297450424929179,0.6770538243626062,8.638735649321604e+26,1.6230710713785016e+28
40,reasoning,0.7,cluster_mean_median,353,0.9971751412429378,0.3087818696883853,0.6090651558073654,0.7592067988668555,194873.34560906515,3661153.5985079054
40,reasoning,0.7,cluster_mean_median_wlen,353,0.9971751412429378,0.3031161473087819,0.5977337110481586,0.7563739376770539,1003276.9121813031,18849658.873014536
40,reasoning,0.7,cluster_mean_median_wsize,353,0.9971751412429378,0.2719546742209632,0.5949008498583569,0.7393767705382436,1393003.1926345609,20221914.387634393
40,reasoning,0.7,cluster_mean_mode,353,0.9971751412429378,0.32294617563739375,0.6005665722379604,0.7252124645892352,9.968838526912181,94.51460909004892
40,reasoning,0.7,cluster_mean_mode_wlen,353,0.9971751412429378,0.311614730878187,0.5892351274787535,0.7110481586402266,1003273.2719546743,18849658.872800343
40,reasoning,0.7,cluster_mean_mode_wsize,353,0.9971751412429378,0.2747875354107649,0.5807365439093485,0.7195467422096318,1393006.9121813031,20221914.387769435
40,reasoning,0.7,cluster_median_mean,353,0.9971751412429378,0.26062322946175637,0.5212464589235127,0.6685552407932012,9.11866540761725e+26,1.713241686455085e+28
40,reasoning,0.7,cluster_median_mean_wlen,353,0.9971751412429378,0.26628895184135976,0.5240793201133145,0.6798866855524079,1.0057296117716252e+27,1.8895943859833762e+28
40,reasoning,0.7,cluster_median_mean_wsize,353,0.9971751412429378,0.28328611898017,0.5609065155807366,0.7082152974504249,8.638735649321604e+26,1.6230710713785016e+28
40,reasoning,0.7,cluster_median_median,353,0.9971751412429378,0.3342776203966006,0.6175637393767706,0.7762039660056658,194682.5297450425,3657569.6648626295
40,reasoning,0.7,cluster_median_median_wlen,353,0.9971751412429378,0.3371104815864023,0.6147308781869688,0.7705382436260623,10.912181303116148,97.3604616365647
40,reasoning,0.7,cluster_median_median_wsize,353,0.9971751412429378,0.3342776203966006,0.6175637393767706,0.7705382436260623,389355.4135977337,7315139.327884316
40,reasoning,0.7,cluster_median_mode,353,0.9971751412429378,0.3286118980169972,0.6147308781869688,0.7422096317280453,9.920679886685553,94.70275549326428
40,reasoning,0.7,cluster_median_mode_wlen,353,0.9971751412429378,0.33994334277620397,0.5977337110481586,0.7280453257790368,7.223796033994335,36.86941968147485
40,reasoning,0.7,cluster_median_mode_wsize,353,0.9971751412429378,0.34277620396600567,0.6062322946175638,0.7507082152974505,389355.447592068,7315139.3278836915
40,reasoning,0.7,cluster_mode_mean,353,0.9971751412429378,0.26912181303116145,0.5184135977337111,0.6628895184135978,9.11866540761725e+26,1.713241686455085e+28
40,reasoning,0.7,cluster_mode_mean_wlen,353,0.9971751412429378,0.26912181303116145,0.5155807365439093,0.6855524079320113,1.0057296117716252e+27,1.8895943859833762e+28
40,reasoning,0.7,cluster_mode_mean_wsize,353,0.9971751412429378,0.26912181303116145,0.5495750708215298,0.71671388101983,8.638735649321604e+26,1.6230710713785016e+28
40,reasoning,0.7,cluster_mode_median,353,0.9971751412429378,0.34277620396600567,0.6175637393767706,0.7790368271954674,194682.51841359775,3657569.6648626467
40,reasoning,0.7,cluster_mode_median_wlen,353,0.9971751412429378,0.3314447592067989,0.6118980169971672,0.7705382436260623,10.895184135977336,97.35504951322443
40,reasoning,0.7,cluster_mode_median_wsize,353,0.9971751412429378,0.3342776203966006,0.6203966005665722,0.7592067988668555,389355.63172804535,7315139.327885045
40,reasoning,0.7,cluster_mode_mode,353,0.9971751412429378,0.32577903682719545,0.6090651558073654,0.7450424929178471,9.810198300283286,94.67351083798961
40,reasoning,0.7,cluster_mode_mode_wlen,353,0.9971751412429378,0.3342776203966006,0.5977337110481586,0.7365439093484419,6.620396600566572,33.31236828896784
40,reasoning,0.7,cluster_mode_mode_wsize,353,0.9971751412429378,0.3314447592067989,0.6062322946175638,0.7507082152974505,389355.5269121813,7315139.327884049
40,reasoning,0.7,dedup_k_mean,353,0.9971751412429378,0.16997167138810199,0.43059490084985835,0.6118980169971672,1.09423984891407e+27,2.055890023746102e+28
40,reasoning,0.7,dedup_k_median,353,0.9971751412429378,0.24645892351274787,0.5694050991501416,0.71671388101983,389355.67705382436,7315138.423065644
40,reasoning,0.7,dedup_k_mode,353,0.9971751412429378,0.24645892351274787,0.5580736543909348,0.7223796033994334,389355.7252124646,7315137.518246782
40,reasoning,0.7,dedup_text_mean,353,0.9971751412429378,0.24929178470254956,0.5269121813031161,0.6770538243626062,8.638735649321604e+26,1.6230710713785016e+28
40,reasoning,0.7,dedup_text_median,353,0.9971751412429378,0.35127478753541075,0.6260623229461756,0.7762039660056658,389355.1983002833,7315138.423065306
40,reasoning,0.7,dedup_text_mode,353,0.9971751412429378,0.3371104815864023,0.6260623229461756,0.7507082152974505,389355.5835694051,7315137.518251981
40,reasoning,0.7,mean,353,0.9971751412429378,0.24929178470254956,0.5269121813031161,0.6770538243626062,8.638735649321604e+26,1.6230710713785016e+28
40,reasoning,0.7,median,353,0.9971751412429378,0.35127478753541075,0.6260623229461756,0.7762039660056658,389355.1983002833,7315138.423065306
40,reasoning,0.7,mode,353,0.9971751412429378,0.3371104815864023,0.6260623229461756,0.7507082152974505,389355.5835694051,7315137.518251981
40,reasoning,0.7,trimmed_mean_10,353,0.9971751412429378,0.28895184135977336,0.5864022662889519,0.7195467422096318,6.055657390434928e+26,1.1377547279579284e+28
40,reasoning,0.7,winsor_mean_10,353,0.9971751412429378,0.2804532577903683,0.5637393767705382,0.7138810198300283,8.623825853585806e+26,1.6202697750868575e+28
40,reasoning,1.0,cluster_mean_mean,353,0.9971751412429378,0.2237960339943343,0.5014164305949008,0.6685552407932012,3.187714328313702e+26,5.989171471534753e+27
40,reasoning,1.0,cluster_mean_mean_wlen,353,0.9971751412429378,0.24645892351274787,0.5240793201133145,0.6742209631728046,3.545351023060906e+26,6.661109816300744e+27
40,reasoning,1.0,cluster_mean_mean_wsize,353,0.9971751412429378,0.23796033994334279,0.5212464589235127,0.6827195467422096,3.187714328313702e+26,5.989171471534753e+27
40,reasoning,1.0,cluster_mean_median,353,0.9971751412429378,0.31444759206798867,0.6090651558073654,0.7648725212464589,4.589235127478753,18.050134776203016
40,reasoning,1.0,cluster_mean_median_wlen,353,0.9971751412429378,0.3342776203966006,0.6147308781869688,0.7620396600566572,4.835694050991502,19.262095644345088
40,reasoning,1.0,cluster_mean_median_wsize,353,0.9971751412429378,0.2747875354107649,0.5864022662889519,0.7422096317280453,44.56940509915014,746.1057254445086
40,reasoning,1.0,cluster_mean_mode,353,0.9971751412429378,0.311614730878187,0.6147308781869688,0.7648725212464589,4.4872521246458925,17.596033547381253
40,reasoning,1.0,cluster_mean_mode_wlen,353,0.9971751412429378,0.34844192634560905,0.6090651558073654,0.7478753541076487,5.7025495750708215,32.38223378885106
40,reasoning,1.0,cluster_mean_mode_wsize,353,0.9971751412429378,0.26912181303116145,0.5892351274787535,0.7422096317280453,259736.12747875354,4879893.666148648
40,reasoning,1.0,cluster_median_mean,353,0.9971751412429378,0.2237960339943343,0.5070821529745042,0.6742209631728046,3.187714328313702e+26,5.989171471534753e+27
40,reasoning,1.0,cluster_median_mean_wlen,353,0.9971751412429378,0.24929178470254956,0.5354107648725213,0.6883852691218131,3.545351023060906e+26,6.661109816300744e+27
40,reasoning,1.0,cluster_median_mean_wsize,353,0.9971751412429378,0.26345609065155806,0.5552407932011332,0.6968838526912181,3.187714328313702e+26,5.989171471534753e+27
40,reasoning,1.0,cluster_median_median,353,0.9971751412429378,0.3314447592067989,0.6288951841359773,0.7790368271954674,4.5609065155807365,18.172450587082178
40,reasoning,1.0,cluster_median_median_wlen,353,0.9971751412429378,0.35410764872521244,0.6317280453257791,0.7790368271954674,4.796033994334278,19.585723539666283
40,reasoning,1.0,cluster_median_median_wsize,353,0.9971751412429378,0.3286118980169972,0.6260623229461756,0.7818696883852692,44.934844192634564,746.2641763900856
40,reasoning,1.0,cluster_median_mode,353,0.9971751412429378,0.32577903682719545,0.6147308781869688,0.7648725212464589,4.518413597733711,17.62233645716798
40,reasoning,1.0,cluster_median_mode_wlen,353,0.9971751412429378,0.3654390934844193,0.6203966005665722,0.7563739376770539,6.7025495750708215,47.41373559366711
40,reasoning,1.0,cluster_median_mode_wsize,353,0.9971751412429378,0.32294617563739375,0.6345609065155807,0.7875354107648725,388864.7648725212,7306006.938923993
40,reasoning,1.0,cluster_mode_mean,353,0.9971751412429378,0.2237960339943343,0.4985835694050991,0.6657223796033994,3.187714328313702e+26,5.989171471534753e+27
40,reasoning,1.0,cluster_mode_mean_wlen,353,0.9971751412429378,0.23229461756373937,0.5184135977337111,0.6798866855524079,3.545351023060906e+26,6.661109816300744e+27
40,reasoning,1.0,cluster_mode_mean_wsize,353,0.9971751412429378,0.2577903682719547,0.5325779036827195,0.6855524079320113,3.187714328313702e+26,5.989171471534753e+27
40,reasoning,1.0,cluster_mode_median,353,0.9971751412429378,0.32011331444759206,0.623229461756374,0.7790368271954674,4.592067988668555,18.18904504841777
40,reasoning,1.0,cluster_mode_median_wlen,353,0.9971751412429378,0.35127478753541075,0.6260623229461756,0.7790368271954674,4.8215297450424925,19.55742615599061
40,reasoning,1.0,cluster_mode_median_wsize,353,0.9971751412429378,0.32294617563739375,0.6203966005665722,0.773371104815864,45.03116147308782,746.2661655211897
